0.03622,0.58333,0.10345,0.98535
0.03622,0.57756,0.10345,0.98438
0.037795,0.57178,0.10345,0.98438
0.04252,0.56766,0.13793,0.9834
0.047244,0.56271,0.13793,0.98242
0.051969,0.55611,0.13793,0.98242
0.055118,0.5495,0.13793,0.98242
0.058268,0.5429,0.17241,0.98145
0.062992,0.53795,0.2069,0.97949
0.067717,0.533,0.24138,0.97656
0.072441,0.52805,0.24138,0.97656
0.07874,0.5231,0.24138,0.97656
0.085039,0.51733,0.24138,0.97656
0.092913,0.51238,0.24138,0.97656
0.099213,0.50908,0.27586,0.97363
0.10709,0.50413,0.31034,0.9707
0.11339,0.49917,0.31034,0.97168
0.12283,0.49587,0.31034,0.9707
0.13071,0.49257,0.34483,0.9668
0.14016,0.49175,0.31034,0.9707
0.14331,0.49175,0.31034,0.9707
0.14331,0.4934,0.31034,0.9707
0.14646,0.49422,0.31034,0.9707
0.14961,0.49505,0.27586,0.97363
0.15433,0.49587,0.27586,0.97363
0.15906,0.49752,0.27586,0.97363
0.16378,0.49835,0.27586,0.97363
0.16378,0.4967,0.24138,0.97656
0.16063,0.49505,0.24138,0.97656
0.16378,0.4934,0.24138,0.97656
0.16693,0.49175,0.2069,0.97852
0.17165,0.48515,0.17241,0.98145
0.17638,0.47855,0.17241,0.98145
0.17953,0.4736,0.2069,0.97852
0.1811,0.46782,0.24138,0.97656
0.17953,0.45957,0.24138,0.97656
0.17795,0.45215,0.2069,0.97852
0.17795,0.44637,0.17241,0.98145
0.18268,0.44224,0.17241,0.98145
0.1937,0.43812,0.17241,0.98145
0.20787,0.43152,0.17241,0.98145
0.2252,0.42657,0.13793,0.98242
0.24094,0.42327,0.13793,0.9834
0.25827,0.41914,0.13793,0.98438
0.28189,0.42079,0.10345,0.98535
0.31339,0.42327,0.10345,0.98633
0.34016,0.42574,0.10345,0.9873
0.3622,0.42904,0.10345,0.98828
0.3811,0.43647,0.068966,0.98926
0.3937,0.44719,0.068966,0.99023
0.39685,0.45957,0.068966,0.99023
0.39843,0.47195,0.068966,0.98926
0.38898,0.4802,0.068966,0.98926
0.37008,0.4835,0.10345,0.98828
0.34803,0.48432,0.13793,0.98633
0.33228,0.47937,0.13793,0.98438
0.31811,0.47195,0.13793,0.9834
0.30709,0.45957,0.17241,0.9834
0.30236,0.44554,0.17241,0.9834
0.30551,0.43069,0.17241,0.9834
0.31339,0.41584,0.13793,0.98438
0.32598,0.40099,0.13793,0.98535
0.34173,0.38696,0.13793,0.98535
0.35118,0.37046,0.13793,0.98535
0.34961,0.35149,0.10345,0.98535
0.34803,0.33498,0.10345,0.98535
0.35118,0.32756,0.10345,0.98535
0.36063,0.32756,0.10345,0.98535
0.36535,0.33416,0.10345,0.98535
0.36535,0.34076,0.10345,0.98535
0.35906,0.34571,0.13793,0.98438
0.34803,0.34983,0.13793,0.98438
0.33858,0.34818,0.13793,0.98438
0.33228,0.34406,0.13793,0.98438
0.32283,0.34158,0.13793,0.9834
0.31181,0.34076,0.13793,0.98242
0.30236,0.34158,0.13793,0.98145
0.30394,0.34406,0.13793,0.98145
0.31181,0.34158,0.13793,0.98145
0.32283,0.33581,0.13793,0.98145
0.25254,0.42051,0.13793,0.98405
0.37532,0.4342,0.079516,0.98896
0.34133,0.34866,0.13793,0.98438
0.13788,0.49195,0.31864,0.96976
0.16633,0.49206,0.21341,0.97815
0.18009,0.46932,0.24138,0.97656
0.14616,0.49399,0.31034,0.9707
0.20607,0.43229,0.17241,0.98145
0.15684,0.49694,0.27586,0.97363
0.055621,0.54845,0.14343,0.98227
0.30441,0.43588,0.17241,0.9834
0.30279,0.34226,0.13793,0.98145
0.31772,0.41143,0.13793,0.98452
0.32511,0.40202,0.13793,0.98528
